ID,Gender,Age,Extra_Curricular,Study_Hours,Annual_Income,Distance_From_Home,GPA
6676,Male,25,Societies,10,1286058,165,3.95
8425,Female,26,No,9,1871960,114,2.73
3521,Female,27,Sports,9,1510064,38,1.56
7020,Male,23,No,5,394327,113,2.24
3852,Male,22,Societies,6,1065873,149,1.75
1022,Female,25,Societies,9,1118933,65,2.38
4048,Male,26,Societies,7,1031666,136,2.68
3547,Female,27,Societies,6,1701633,88,3.49
1919,Female,21,No,14,1587415,176,2
9771,Male,26,Sports,10,1285593,179,3.14
5380,Female,25,Sports,8,332326,100,1.88
4444,Female,23,No,8,1464245,142,2.02
7142,Male,23,No,9,1827304,178,3.79
7970,Male,27,Sports,11,1808527,88,1.05
7229,Male,23,Societies,10,678702,87,1.55
2407,Female,22,Sports,9,1286135,8,1.42
2640,Male,26,Sports,6,653338,152,3.88
7994,Male,21,Sports,6,568326,185,3.51
7874,Male,24,Societies,12,1121390,165,2.58
2222,Male,22,No,8,1987677,180,1.78
1494,Female,22,No,9,629038,42,2.43
8241,Female,24,Sports,6,703026,151,3.52
1608,Male,27,Societies,15,628634,12,1.34
7264,Female,26,No,13,427813,91,3.43
8448,Male,27,No,9,583439,78,2.61
2579,Male,21,Sports,5,809570,19,2.86
7749,Male,22,Sports,15,1295753,124,1.63
7357,Female,24,No,8,1557487,169,3.16
3042,Male,26,No,13,1860683,89,3.98
4120,Male,24,Societies,11,188664,101,3.41
3828,Male,26,Sports,10,644551,74,1.86
9092,Male,25,No,7,844597,161,1.11
4923,Male,25,Societies,7,171181,11,2.88
1982,Female,26,Sports,8,1465704,140,2.58
2047,Male,25,No,15,755248,13,2.62
6507,Male,27,Sports,14,852831,31,1.5
9955,Female,27,Sports,7,1369050,19,3.09
2860,Male,21,Societies,7,1740432,41,1.58
3832,Male,27,Sports,14,668509,30,1.4
2886,Female,25,Societies,7,1397021,135,3.39
2627,Male,21,Societies,10,566542,23,1.16
8681,Male,24,Societies,13,837265,139,1.1
3583,Male,24,Societies,5,1846796,94,3.61
5890,Male,27,Societies,5,309861,166,3.26
2531,Female,24,No,9,760931,115,3.22
2343,Male,25,Societies,14,1543904,90,1.94
3942,Female,27,Sports,15,1340888,87,3.88
1328,Male,25,Sports,6,787552,81,3.08
3078,Female,26,Sports,15,729314,179,3.17
6583,Female,22,No,8,1364793,80,3.7
8392,Female,22,No,14,1866853,191,3.47
7575,Female,24,Societies,7,564004,117,2.42
9503,Male,26,No,9,1105070,122,3.85
7096,Female,22,Societies,7,838126,68,3.53
3130,Female,21,Sports,8,1164660,130,3.41
5267,Female,27,Sports,11,1605748,67,2.76
9401,Female,26,Societies,7,258508,199,3.07
5792,Male,23,No,7,980434,125,3.5
4835,Male,25,No,8,535398,82,1.52
1646,Female,26,Sports,9,1681713,41,3.63
1488,Female,27,Societies,13,1914478,25,2.67
8387,Female,23,Societies,5,795562,31,3.39
3296,Male,24,No,11,1675362,84,3.2
4855,Male,22,Sports,11,1260698,106,3.87
7412,Female,26,Sports,5,1846367,172,3.02
5852,Male,27,Sports,7,507670,134,1.87
4200,Female,25,Sports,15,1076885,79,1.77
9389,Male,24,No,9,1096077,197,3.61
8206,Male,22,No,8,618656,199,1.38
3312,Male,23,No,15,561170,45,3.7
4865,Male,23,No,14,833499,15,3.27
4160,Female,25,Societies,12,1891974,189,1.97
1199,Female,21,Societies,11,1776920,96,2.43
7250,Male,24,Societies,15,1247489,61,3.16
1408,Male,26,Sports,8,1553013,29,2.65
9439,Male,24,Sports,6,152782,173,1.82
9586,Female,25,Societies,9,527708,72,3.24
8957,Male,24,Societies,7,1263073,25,1.56
8509,Male,22,Societies,15,1383212,44,2.18
3805,Female,24,No,13,1512829,7,1.55
6369,Male,21,Sports,11,1289622,160,3.61
4683,Female,21,Societies,7,1961668,37,3.96
2738,Male,22,Sports,14,1026167,88,1.82
3357,Female,26,Societies,7,1216269,183,2.91
9993,Female,23,Societies,13,940139,15,2.3
5727,Female,27,Sports,15,1772173,99,3.72
1460,Female,21,Societies,6,1165317,189,3.86
3444,Female,26,Societies,9,914587,43,1.7
8493,Female,24,No,8,1745536,81,2.82
3763,Female,25,Sports,8,1114397,99,3.44
6764,Male,26,Sports,9,1755884,91,2.51
9194,Male,27,Sports,12,1018311,113,3.07
3459,Female,24,No,6,1005548,50,1.68
8885,Female,25,Societies,11,855486,39,3.66
4056,Female,27,No,7,1650529,13,1.32
6504,Female,24,Sports,12,350218,22,1.2
2550,Male,23,Sports,15,563159,69,2.78
9505,Female,27,No,10,878179,111,3.79
6933,Female,24,Sports,12,212836,98,2.76
4707,Male,21,No,15,322202,60,1.26
2621,Female,22,Sports,11,608907,63,3.8
3513,Female,23,Societies,7,1067466,138,3.59
1765,Female,21,No,15,220432,62,2.04
8227,Male,24,Societies,15,356631,45,3.13
7478,Female,25,No,14,1741151,17,2.8
2266,Male,22,No,15,1286297,9,1.49
5145,Male,25,No,9,1563737,180,2.38
8144,Female,23,Sports,10,276754,60,1.02
6594,Female,25,Societies,9,859761,112,3.75
4143,Male,26,Sports,8,1390372,174,3.5
1725,Female,21,No,5,1749883,133,1.89
2358,Female,25,Societies,13,284002,75,3.06
6905,Male,22,Societies,5,1353727,191,2.97
1922,Female,21,Sports,11,726198,38,1.6
7703,Male,22,Societies,14,1532883,17,3.75
5477,Male,26,Societies,5,691190,154,3.59
6151,Male,22,No,11,1631968,13,3.35
6569,Female,23,Sports,15,305800,117,3.43
1970,Female,23,No,11,702135,152,3.34
4711,Female,24,Societies,7,1588720,46,3.45
8698,Female,22,Sports,6,1579627,189,2.06
4285,Female,23,Societies,10,1982162,178,3.65
4078,Male,26,Societies,7,1170223,108,3.06
4549,Male,22,Sports,9,543048,178,2.18
8632,Male,23,No,9,655711,173,1.41
3195,Male,23,No,10,901730,190,2.75
9317,Female,22,Sports,9,1791437,156,3.07
8536,Female,21,No,12,559298,112,1.75
6191,Female,22,Societies,13,1976056,100,2.96
1055,Female,25,Societies,10,163868,73,1.33
5762,Female,26,Societies,14,1872061,129,3.19
5841,Male,22,Sports,9,643540,70,2.48
9263,Female,22,Societies,15,403739,20,3.46
3087,Female,23,Societies,15,1001879,198,1.18
2790,Female,24,Societies,9,932093,38,3.43
4685,Male,23,No,15,361983,195,2.3
7912,Female,25,No,12,1427800,92,3.68
5781,Male,22,No,11,1630295,121,3.49
6694,Male,22,Societies,12,1974939,131,1.85
5425,Male,26,Sports,8,602415,185,1.15
4371,Male,27,No,9,286166,93,1.96
2619,Female,23,Sports,13,1659434,89,2.56
1454,Male,23,No,13,1434419,30,3.18
7567,Male,27,Sports,9,1758843,143,2.49
8462,Male,26,Societies,11,1622138,79,3.42
8039,Male,22,Sports,9,1919873,12,1.65
7810,Male,21,No,14,1774228,157,1.38
3074,Female,23,Sports,12,1873325,113,3.25
4775,Male,22,Sports,13,1978379,115,2.35
5839,Male,24,Societies,6,1905420,159,3.08
6852,Female,27,Sports,13,1006215,46,1.3
4472,Female,22,No,14,1733091,167,3.51
2479,Male,22,Societies,5,483202,22,2.44
7426,Male,23,No,15,1351125,93,2.13
6413,Female,27,Sports,12,725880,70,3.58
7456,Female,25,No,12,671103,197,3.81
4065,Male,25,No,9,843568,185,2.47
6092,Female,24,Societies,8,1508724,168,2.5
5420,Female,23,No,7,242814,57,1.4
8407,Female,25,Societies,15,1238111,199,1.97
5242,Female,24,Societies,15,208125,129,1.15
4980,Male,26,No,5,1765304,47,2.27
2698,Female,21,Sports,6,592420,135,3.94
7563,Female,24,No,7,537179,11,3.87
6588,Male,23,Societies,14,661527,104,1.06
1726,Female,25,Societies,12,437641,95,1.25
3836,Male,26,Sports,10,390313,199,1.73
2512,Female,26,Societies,14,1179190,9,1.81
8052,Female,22,Sports,5,1289721,114,1.79
7507,Female,22,No,5,1142582,24,3.81
9557,Female,25,Societies,11,272437,74,2.2
2910,Male,27,No,7,1293075,18,2.03
4657,Male,23,Sports,5,382027,159,2.53
9913,Female,24,Societies,12,1868722,54,1.1
4271,Female,24,Sports,12,659921,117,1.97
4036,Female,23,Societies,13,826175,155,2.54
4326,Male,22,Societies,14,1916151,112,3.34
3930,Female,27,Sports,11,719987,45,2.78
7669,Female,26,Societies,10,1087896,18,3.74
1558,Female,22,Sports,15,728393,20,1.39
9786,Female,26,No,12,1707287,83,1.7
2054,Male,26,No,5,1708898,109,2.48
6394,Female,24,Sports,15,400921,65,3.29
1277,Female,23,Sports,13,1968492,145,1.02
2370,Male,25,No,7,1203956,170,2.4
3692,Male,21,No,8,919985,184,3.07
7079,Male,21,No,11,165986,94,1.32
7602,Female,25,No,12,1395013,50,3.46
5013,Female,27,Societies,15,1937683,188,1.2
6842,Female,25,Sports,12,1136161,149,1.95
2464,Female,24,No,13,1486794,178,1.47
3089,Male,22,Societies,5,1210380,139,1.65
3205,Male,26,No,11,156826,115,1.54
6980,Female,21,Sports,8,1184977,50,3.21
7140,Male,27,Sports,7,1886000,151,3.89
9227,Male,27,Societies,12,1756153,128,3.55
2089,Male,21,Sports,6,1864662,157,1.61
5464,Female,25,No,7,1477314,39,1.59
2224,Male,21,Sports,7,1075227,144,1.78
7178,Female,26,Societies,8,554492,73,3.22
7161,Male,26,Societies,13,303748,153,3.83
2742,Male,26,Societies,7,423109,118,3.26
3894,Female,26,Societies,12,1213702,39,1.41
2340,Female,21,No,15,644102,190,2.56
1273,Male,21,No,14,1081963,88,2.76
8620,Male,24,Societies,10,1518278,101,1.61
8133,Male,24,Societies,7,1958874,104,1.15
3152,Female,24,Sports,6,257777,80,1.03
3924,Female,26,Societies,6,1122267,125,1.2
6482,Female,25,Sports,14,1562916,160,3.64
9954,Male,25,Societies,13,211033,129,1.13
1767,Female,25,Sports,6,556559,88,1.44
9190,Male,23,Societies,13,1342205,104,2.67
2867,Male,26,No,7,1071374,10,3.71
1200,Male,22,No,6,1576084,81,2.04
5660,Male,23,No,8,1158466,74,3.1
2453,Male,27,Sports,12,1610060,31,2.64
4669,Male,26,No,8,1455866,81,2.22
7450,Male,21,No,5,1753587,38,2.68
9036,Male,27,Societies,14,1074241,110,1.93
1102,Female,21,No,9,901223,55,3.24
3545,Female,26,Sports,13,984595,53,2.89
8342,Male,26,Sports,5,1406368,158,1.92
6733,Male,24,Societies,5,1652338,121,1.77
4910,Male,27,Sports,6,1520141,129,3.95
9689,Female,27,Sports,7,1781817,79,1.84
4223,Female,26,Sports,7,496490,193,3.79
7648,Female,21,Societies,6,878364,43,1.39
5146,Female,26,Societies,10,638708,197,1.86
5200,Female,22,No,5,781531,123,1.29
1826,Female,23,No,15,282086,30,1.83
8451,Male,25,No,9,469614,28,3.65
3223,Female,24,No,12,818901,82,1.8
5347,Female,22,Sports,5,677231,130,2.53
2042,Male,27,No,7,1550075,134,3.99
6855,Female,24,Sports,9,1475069,168,1.7
4948,Female,27,Societies,8,596226,196,1.08
6099,Female,21,Societies,15,1847370,57,2.35
3632,Male,27,Sports,14,367045,12,2.9
9623,Female,21,Sports,10,1881431,168,2.94
4903,Male,23,No,5,807106,179,1.3
8987,Male,22,No,11,154542,113,2.65
5058,Female,21,Societies,9,1587125,99,1.44
6241,Female,23,Societies,10,1362573,161,2.46
2646,Male,21,Societies,5,529074,81,3.38
6801,Female,24,Societies,13,329039,12,3.22
1030,Male,27,Societies,9,1708942,156,3.52
9499,Male,22,Sports,9,1798793,12,1.71
7763,Male,23,Sports,13,692029,197,2.09
5258,Female,26,No,6,641398,42,2.4
9617,Male,24,Sports,8,1686651,101,2.85
9596,Female,23,Societies,6,1076729,197,2.92
6882,Female,24,No,10,209271,34,2.09
2475,Male,21,Sports,8,1107802,180,2.5
5377,Male,21,Societies,9,266967,64,1.54
8685,Male,22,No,10,1581015,86,2.86
9168,Female,24,Societies,12,634128,168,2.83
7974,Female,21,Societies,11,1144253,199,2.72
6730,Female,23,Sports,11,469690,137,1.45
3850,Male,27,Societies,10,744827,69,3.32
2017,Female,26,No,12,1685554,88,2.82
3163,Female,21,Sports,6,759850,166,3.39
7615,Female,24,Sports,10,1490734,95,3.12
1219,Female,21,Sports,12,424913,118,3.43
7251,Female,21,Sports,14,1842081,77,3.08
4678,Male,21,Sports,9,173169,189,2.95
1913,Female,23,No,9,230073,174,3.91
9164,Male,26,No,7,367296,113,3.44
1260,Male,21,Sports,14,1503194,156,1.87
8078,Female,27,No,10,319107,172,1.38
5375,Male,26,Societies,11,1327321,95,2.75
6466,Male,25,Sports,6,1894983,18,2.02
9790,Male,24,Societies,8,1324105,40,1.77
2670,Female,27,Societies,7,1485467,77,1.08
6614,Female,26,Sports,15,1498593,180,2.99
1261,Male,23,Societies,10,729647,97,1.73
5559,Female,24,Societies,13,224322,112,2.55
9276,Female,27,Societies,7,895285,43,1.86
9305,Male,23,No,14,1461710,94,2.12
4117,Female,26,No,12,1238693,20,1.54
9211,Male,21,No,7,908576,120,3.92
1146,Male,23,No,14,1049338,61,3.99
7149,Male,26,No,11,1170819,122,1.3
4611,Female,22,Societies,5,1315088,168,1.03
3184,Female,24,Societies,13,771361,157,1.59
9700,Female,23,No,9,161275,100,3.43
1650,Male,23,No,11,1553825,190,1.44
2960,Female,26,Societies,5,747068,164,1.55
3571,Male,23,Societies,12,1679700,6,3.95
1267,Female,24,Societies,13,165634,133,1.59
1964,Female,24,Sports,6,894991,115,2.84
6182,Female,24,Sports,5,1397809,135,3.63
7926,Female,26,No,11,1241852,81,3.36
7942,Male,25,Societies,14,1084279,176,2.99
3207,Female,25,Societies,13,1903425,172,3.46
7603,Female,26,Societies,9,1462800,107,2.88
6224,Female,21,Sports,8,132004,109,2.18
4362,Female,27,No,12,459386,85,3.22
7310,Female,25,Societies,11,1116262,129,1.96
9395,Male,21,Societies,7,1166272,184,2.69
8423,Female,26,Sports,7,1926855,105,3.01
2638,Male,23,Sports,13,813495,156,1.51
8286,Male,25,Sports,5,755138,80,3.7
5265,Male,26,Societies,12,1191594,143,4
4882,Female,26,Societies,6,493652,200,1.01
8205,Male,25,No,14,652425,31,1.47
5823,Male,21,No,7,1206542,20,3.68
4113,Female,23,Societies,13,1520639,16,3.76
3685,Male,24,Societies,11,478862,32,1.95
6004,Male,27,Societies,15,499281,7,3.37
5677,Female,26,Societies,7,195012,131,1.87
8964,Male,25,Sports,11,1436727,120,1.17
1447,Female,24,Sports,15,685751,72,3.05
5216,Male,27,Societies,13,1354869,143,2.01
1625,Female,24,Societies,10,119354,116,3.27
3686,Female,22,No,8,1529423,107,1.14
6948,Male,26,Sports,14,437358,26,3.7
3398,Male,25,Societies,15,907539,32,3.15
5517,Female,26,Societies,11,1324227,135,3.15
4486,Female,21,Societies,9,848385,77,3.73
5965,Female,22,No,12,1564844,96,3.69
3857,Female,24,Sports,15,1767358,10,2.6
2061,Female,22,Sports,9,1047528,10,2.82
6877,Female,21,No,11,237908,69,1.09
6277,Male,22,Sports,13,984228,84,3.17
9868,Male,22,Societies,14,1938256,90,3.11
9536,Female,26,Societies,5,980938,11,3
2713,Female,21,Societies,8,1575010,42,2.07
8793,Male,24,Societies,9,1435734,90,1.55
5088,Female,21,Sports,8,1677807,103,1.24
3558,Female,26,No,12,218552,97,1.84
7342,Male,26,No,10,1456441,60,3.47
2505,Female,24,No,11,803505,15,2.7
5576,Male,25,No,5,558647,41,1.84
9018,Female,22,Sports,9,1624443,172,1.36
4869,Male,23,Societies,10,1315142,196,3.25
6075,Female,27,No,7,647083,115,3.09
5189,Female,25,Sports,11,832809,76,2.75
3508,Female,27,Societies,5,356319,88,3.14
6609,Male,26,Sports,11,1296964,170,3.04
1405,Female,24,Societies,11,1175106,167,2.82
1918,Male,21,Sports,5,289769,8,3.12
3752,Female,21,Sports,7,1377598,98,3.2
3873,Female,26,Sports,15,502163,90,2.14
2228,Female,27,Societies,6,1267862,34,3.17
5786,Female,25,Societies,11,693512,36,1.75
1467,Female,24,No,15,1493239,173,1.37
7320,Male,25,No,14,732612,163,1.65
7389,Female,25,No,7,385659,142,2.51
2415,Female,26,Societies,8,1213829,71,1.21
7629,Female,21,Sports,9,1635146,34,3.29
2507,Male,26,Sports,6,384922,196,1.42
7004,Female,27,Societies,7,1533563,144,2.13
3019,Male,23,Societies,6,1829337,128,3.67
6089,Female,27,No,15,1257595,143,3.27
2094,Female,23,Societies,8,1283402,189,1.23
2616,Male,24,No,12,1414955,106,2.93
3584,Male,27,Societies,6,346841,25,2.99
6635,Male,22,Sports,7,234669,157,1.17
8400,Male,25,No,13,284912,54,1.66
7686,Female,21,Sports,14,1952197,199,2.92
9903,Female,24,Societies,10,1423896,172,2.21
5960,Female,23,Societies,10,601473,168,3.31
7821,Male,26,Societies,11,1931662,190,2.92
9431,Female,26,Sports,6,1766906,198,3.71
7844,Male,22,Societies,6,1597654,43,1.36
3103,Male,26,No,9,1789642,190,1.65
7640,Male,27,Societies,6,1266053,52,2.39
7363,Female,22,Sports,13,261776,65,2.45
5494,Male,23,Sports,12,917120,152,3.96
1348,Male,27,Societies,13,709954,114,1.29
1936,Female,21,Societies,10,288951,12,3.91
9535,Female,25,Sports,12,1027337,45,3.05
6002,Male,27,Sports,7,737513,98,1.06
2788,Male,24,Societies,12,444753,122,2.84
6042,Female,25,Societies,7,516218,73,1.5
1867,Female,23,Sports,14,1313768,89,1.9
5885,Female,24,Sports,9,835994,189,2.29
2491,Male,23,Societies,12,953508,136,1.48
9285,Female,22,No,10,1200725,80,1.42
6111,Female,23,Sports,12,650408,82,2.1
3854,Male,26,Societies,12,871379,165,1.24
2295,Female,25,Societies,11,522403,69,2.95
6078,Female,25,No,15,1469481,101,3.05
3541,Female,24,Sports,6,1641501,72,1.01
5346,Female,21,Sports,7,1350482,13,2.23
6088,Female,27,No,8,1302581,147,3.5
8872,Male,27,No,5,672328,99,2.64
4451,Female,24,Sports,10,302832,36,2.86
1227,Male,23,No,7,367418,122,2.11
5473,Female,22,No,8,1908165,41,2.3
3472,Female,24,No,9,882529,79,3.23
2509,Female,21,Societies,14,1753114,25,2.6
3867,Male,21,No,5,1447440,144,3.33
9966,Male,27,Societies,13,1040635,12,3.99
9810,Female,23,No,7,1048824,29,1.21
3673,Male,23,Sports,14,1952922,160,1.92
5350,Male,22,No,9,647182,130,2.83
9104,Male,21,No,14,339957,172,1.09
1827,Male,27,Sports,14,973558,29,1.99
4115,Female,22,Sports,7,196084,114,1.25
6123,Female,27,No,6,1484047,109,2.5
3206,Male,27,Societies,6,111556,95,2.5
6365,Female,22,Societies,14,1027828,93,2.06
7432,Female,21,Sports,5,592272,153,2.58
5023,Female,24,Sports,10,816696,197,3.44
7817,Male,25,No,12,635954,61,1.51
3842,Male,22,Sports,7,780581,80,2.37
5382,Female,21,Sports,6,1653189,157,3.15
1548,Female,26,Societies,7,1595314,95,3.1
8088,Female,23,Sports,5,1802758,142,1.87
5961,Male,21,Societies,13,1306065,42,2.45
3027,Female,25,Societies,15,1170163,10,2.43
1821,Male,27,No,11,533466,38,3.97
8775,Male,23,No,10,866151,132,3.22
7578,Male,22,Societies,14,1394781,20,1.31
2762,Female,24,Sports,15,672573,58,2.77
7118,Female,27,Sports,13,570805,97,2.15
7637,Female,23,Societies,11,1653393,43,1.78
3973,Female,21,Sports,8,1845811,70,3.84
3035,Male,26,Societies,11,537940,157,1.8
9946,Male,26,Societies,8,1398001,136,1.71
8708,Female,24,Sports,6,925986,140,3.86
8458,Male,23,No,14,187412,119,1.4
5188,Female,27,No,14,652496,176,1.88
1527,Female,21,Societies,6,1440638,115,2.79
2253,Female,26,No,11,674552,192,3.92
2989,Female,25,Societies,6,1150026,33,2.49
3808,Male,24,Societies,14,1003760,143,2.58
7135,Male,21,Societies,6,938056,10,3.37
6183,Female,27,Societies,12,1185231,32,2.94
1175,Male,26,Sports,12,1736038,33,1.79
5341,Male,24,Societies,14,1330032,153,3.4
7259,Male,21,No,12,1170993,139,2.28
1398,Male,25,No,11,579053,103,2.57
9256,Female,21,Sports,5,1066563,8,1.25
8684,Male,23,No,6,243630,39,2.11
5799,Male,24,Sports,11,318621,25,1.98
4913,Male,21,Sports,11,1934210,96,3.66
8191,Female,25,Societies,8,1934872,58,3.45
1346,Male,23,Societies,6,1506666,57,1.29
8797,Male,22,No,5,100500,31,3.78
7272,Female,21,Societies,10,1687575,39,3.87
2914,Male,21,No,13,1343354,33,3.49
9622,Female,24,Sports,7,436403,33,3.69
2693,Female,24,Societies,13,701961,10,1.05
7367,Male,24,Societies,5,332181,97,3.63
7158,Male,27,Societies,7,1226109,158,3.72
7295,Male,25,No,6,1207373,16,3.62
1990,Female,24,Sports,5,1706602,29,3.89
1370,Female,25,Societies,15,421319,9,4
1808,Male,23,Societies,10,681865,84,3.12
7155,Male,27,No,12,1535637,169,1.71
1596,Female,26,No,15,645093,128,2.41
9901,Female,24,Sports,9,1488157,97,3.85
6475,Male,21,Societies,7,1098997,7,1.49
3928,Male,26,Sports,8,1745881,118,2.71
4389,Male,24,No,8,1994999,39,1.82
5285,Male,24,Sports,11,989311,194,1.58
9222,Female,22,Sports,5,633816,138,3.31
6039,Female,27,Societies,6,762795,32,1.86
4771,Male,27,Sports,14,474973,168,1.55
9874,Female,26,Societies,10,263413,196,1.14
5753,Male,21,No,15,286910,142,3.41
7518,Female,27,No,11,1136953,137,3.58
2132,Female,21,Societies,11,178188,114,2.76
1719,Female,21,No,12,1971881,100,3.69
3993,Female,22,Societies,5,1960033,12,2.11
3471,Female,25,Sports,13,930994,182,3.62
8940,Male,21,Sports,9,1073969,14,3.1
6118,Male,22,No,8,661625,89,3.93
9982,Female,27,No,13,1166616,181,1.66
5397,Female,26,No,11,235011,35,2.36
1581,Female,23,Societies,15,550689,109,1.4
8832,Female,24,No,12,923260,42,3.41
4267,Male,24,Sports,5,158664,102,3.11
5326,Female,26,Societies,9,184080,75,2.53
1487,Female,25,Societies,10,357149,158,2.4
9941,Male,25,Societies,8,1552325,15,2.1
1168,Male,22,No,13,1878751,105,2.54
1401,Female,21,Societies,10,1138558,52,1.94
1410,Female,27,No,11,458675,17,2.13
5047,Male,22,Societies,7,1995471,130,1.33
1604,Male,22,Societies,11,1595229,200,3.37
5472,Male,23,Sports,11,1271799,32,3
7824,Female,27,Sports,9,1648587,33,3.52
2231,Female,26,Sports,14,1602311,146,1.44
1884,Female,24,No,10,1080036,75,2.56
8966,Male,23,Societies,10,1989883,99,3.07
5229,Female,24,Sports,11,1795593,148,2.3
3273,Female,23,Societies,10,488927,66,2.41
8605,Male,22,Sports,10,634575,66,2.25
6878,Male,25,Societies,7,694279,27,3.63
4330,Male,23,Societies,14,1430000,107,3.32
8121,Female,24,Sports,10,339609,81,3.01
4627,Female,27,Societies,10,286068,191,2.41
9188,Female,21,Societies,7,518967,81,1.42
3987,Male,22,No,11,708525,88,3.95
6832,Female,27,Sports,11,993025,174,2.57
9974,Male,24,Sports,15,963719,20,2.21
3843,Male,22,Sports,14,429002,80,1.07
3111,Male,25,Sports,15,1637977,143,3.79
1050,Male,24,Societies,9,988215,161,1.27
9052,Male,21,No,9,1147319,131,1.82
5461,Male,23,Sports,8,1422896,197,3.44
8732,Female,25,Societies,10,1820365,132,2.25
3988,Male,22,Sports,9,1816386,34,3.71
4421,Female,24,No,5,1606267,132,1.85
7779,Female,22,Sports,14,118035,78,2.05
2033,Female,22,Sports,9,934166,30,2.37
8875,Female,23,No,10,303782,158,2
8694,Female,23,Societies,10,1360739,187,3.85
1441,Male,21,No,5,1435079,181,1.94
7505,Male,24,Sports,12,1938756,17,1.45
5681,Male,27,No,8,1986661,116,2.84
4408,Male,25,No,12,227266,86,1.13
2389,Male,23,Sports,13,331492,16,3.88
9294,Male,22,Societies,9,1535280,112,2.85
8280,Female,21,No,12,403164,72,1.49
2050,Male,24,No,15,710116,82,2.05
5227,Male,26,No,7,1883068,45,3.94
7948,Male,21,Sports,9,193327,165,2.43
6786,Female,24,Societies,5,239323,81,3.53
1358,Female,21,Societies,12,195149,23,1.49
4093,Female,22,No,9,1809631,117,2.15
4612,Male,22,Sports,6,290794,90,2.26
8774,Male,22,No,14,304028,74,1.15
5923,Male,21,Sports,8,563321,42,1.4
1691,Female,24,Sports,15,123391,200,2.91
7386,Female,25,Societies,12,1411099,40,2.72
8285,Male,21,Societies,15,629042,114,3.68
5867,Male,21,No,6,665898,35,3.89
9252,Male,24,No,12,1855124,45,3.32
3731,Female,21,No,7,1900608,200,1.53
7552,Male,27,Sports,7,1099349,97,3.34
3350,Female,21,No,13,1350024,149,1.02
4598,Male,21,Societies,10,1003204,49,1.58
5996,Female,26,Sports,14,1725442,33,1.17
3958,Male,26,Sports,5,1300620,171,1.5
7195,Female,24,Societies,9,1530893,82,2.41
4653,Male,25,Sports,7,941546,119,3.72
6712,Female,24,Societies,9,1601116,167,2.77
9740,Female,27,Sports,5,1978751,27,2.77
4600,Male,25,Societies,5,1351786,106,1.88
6431,Male,23,No,5,1540107,122,1.35
